Valor A,Valor B,Valor C,Valor D
"1,7","74,17","4,549997143","2,295"
"0,03","19,311","4,586626471","3,82"
"0,054",66,"7,372807447","6,44"
"0,0218","675,54","5,635629808","1,1495"
"0,0026","167,51","1,534144444","0,25"
"0,0001","137,78","0,9916849421","0,12"
"0,0173","89,88","1,582312903","0,976"
"0,0074",11,"0,6712305344","0,485"
"0,0237",321,"3,24433522","1,01"
"0,04","1,5032","0,1343805369","0,09"
"0,0616","17,42","4,328674731","3,985"
"0,0004","73,86","0,4638732673","0,043"
"0,0005","5,4","0,1366075117","0,042"
"0,0094",138,"1,809539614","0,93"
"0,0042","593,7","8,175538961","0,4"
"0,0008","59,47","0,8899198113","0,05"
"0,0008","8718,45","42,04246573","0,075"
"0,0015",145,"1,252977515","0,12"
"0,001",930,"7,140026623","0,1"
"0,0024",200,"1,616796815","0,18"
"0,0004","77,85","0,8368593137","0,04"
"0,0031","158,59","1,889649554","0,36"
"0,09","2,25","0,3304211009","0,28"
"0,0026","158,59","1,525934545","0,23"
"0,0188","122,7","2,356493689","1,02"
"0,0005","2,7","0,1056353293","0,06"
"0,0207","12,52","1,848677778","1,4"
"0,0009","84,91","1,204659281","0,1"
"0,0005","46,59","0,3526763736","0,04"
"0,0005","59,47","0,4753898204","0,06"
"0,0015",70,"0,6054268868","0,1475"
"0,0004","713,75","4,315730952","0,43"
"0,0005",90,"0,715060687","0,06"
"0,0003","27,75","0,1963096447","0,03"
"0,0003","23,69","0,1922891509","0,03"
"0,0019","236,67","4,226099457","0,1695"
"0,0016","12,86","0,5234259615","0,14"
"0,0044",495,"3,168913433","0,38"
"0,0008","79,2","1,333588356","0,0925"
"0,0008","33,7","0,3331975","0,09"
"0,002","2,34","0,3699","0,28"
"0,024","56,8","2,389097753","1,55"
"0,0013","89,21","1,088232159","0,095"
"0,0015","159,09","1,506643333","0,13"
"0,0019","253,71","4,173504348","0,17945"
"0,0008","149,27","2,127098529","0,15"
"0,0007","88,21","0,6863705314","0,07"
"0,0014","198,14","1,244571111","0,17"
"0,0026","152,35","1,230923353","0,14"
"0,0009","85,24","0,5294308756","0,08"
"0,21","49,73","9,375","0,68"
"0,0004","39,65","0,4544810811","0,036"
"0,0254",31,"2,756276087","1,68"
"0,014","119,94","2,100379688","0,985"
"0,0011","99,02","1,280823963","0,1"
"1,86","51,1312","6,901521277","5,85"
"0,16",6,"1,510044872","1,405"
"0,0138","549,72","6,357058491","0,735"
"0,0118","218,28","2,516802139","0,8"
"0,0022",78800,"400,9285264","0,19"
28,"41,26","33,75333333",32
"0,0074","5,699","0,7437982906","0,66"
"0,319","8,21","1,419894118","1,185"
"0,134",785,"28,15478269","11,6"
"0,25",15,"0,9843546512","0,418"
"0,0007","188,23","1,253642231","0,08"
"0,42","18,75","1,281694286","0,79"
"0,0007","97,14","1,858856452","0,0737"
"0,0034","9,55","0,3873216216","0,22"
"0,0016",80,"0,825338756","0,1"
"4,25","7,2","5,24335","5,195"
"0,2612","191,59","15,33643333","12,75"
"0,1465",1280,"16,11766653","7,865"
"0,1","484,95","11,85657677","8,26"
"0,0062","7,44","0,5374393443","0,39"
"0,0008","64,43","0,905368","0,08"
"0,04",17,"0,2961818182","0,07"
"0,085","10,91","0,4505863636","0,2"
"0,0018","11,85","0,2836735043","0,18"
"0,28",458,"11,30199625","4,95"
"0,0224",41,"4,001966848","3,4935"
"0,024","125,1","4,092905357","1,48"
"0,0014",15,"0,5546818182","0,15"
"0,124","84,99","16,29523458","6,13125"
"0,066","0,9111","0,1489727273","0,108"
"2,99","5,91","3,884271429","3,6"
"0,0004","39,15","0,3496786364","0,032"
"0,0268",102,"2,78257384","1,84"
"0,0011","4,02","0,1663804348","0,1"
"0,0182","36,3","2,803058031","2,23"
"0,0009","54,52","0,7056463542","0,09"
"1,21","19,4422","2,181959211","1,6"
"0,12","3,77","0,448809375","0,2085"
"0,27","13,49","1,8436875","0,866"
"0,26","2,35","0,5070333333","0,4425"
"0,0004","55,51","0,4389940887","0,04"
"0,625","8,1","1,238291765","0,84"
"0,044","6,1","1,634292638","1,44"
"0,33",634,"8,206813208","0,65"
"0,0465","17,15","4,524055102","3,75"
"0,0018","67,6","1,106974011","0,17"
"0,0338","17,66","4,60997362","4,33"
"0,1878","28,33","10,38243729",9
"0,074",7299,"52,10156842","6,9"
"0,144","120,7","6,235126471","1,9895"
"0,98","132,09","7,198951852","1,72"
"2,4","3,16","2,71233","2,73"
"0,0009","3,44","0,1291245614","0,045"
"0,27","13,06","5,367289796","4,83"
"0,0318",6000,"27,35564899","0,749"
"2,005","19,2","9,959615385",10
"0,079","26,4","5,670677551","5,25"
"0,0969","10,3238","1,604232836","1,27"
"1,8699",15,"3,964024324","2,78"
"0,0005","8,05","0,2382455882","0,04"
"14,9",81,"44,65166667","37,465"
"0,0175",104,"2,945524224","2,036"
"0,017",92,"2,732933516","1,88"
"0,0495","21,6","4,809418023","3,795"
"0,82","22,06","11,44","11,44"
"0,6175","9,24","4,92875","4,92875"
"2,1","3,4","2,806917391","2,7358"
"0,49",9,"2,684925","1,7772"
"0,0036","1,19","0,3613591549","0,323"
"0,0723","6,35","2,9893","3,08"
